Title,Author,Publication Year,User Rating,Average Rating,Book ID,ISBN,Number of Pages,User Status,Book Image URL,Book Description,Book Large Image URL,ID,Link,Published,User Date Added,User Date Created,User Read At,User Review,User Shelves
The Sinner and the Saint: Dostoevsky and the Gentleman Murderer Who Inspired a Masterpiece,Kevin Birmingham,2021,0,4.23,57066978,1594206309,432,currently-reading,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615880616l/57066978._SY75_.jpg,"From the New York Times bestselling author of THE MOST DANGEROUS BOOK, the true story behind the creation of another masterpiece of world literature, Fyodor Dostoevsky's CRIME AND PUNISHMENT. THE SINNER AND THE SAINT is the deeply researched and immersive tale of how Dostoevsky came to write this great murder story--and why it changed the world. As a young man, Dostoevsky was a celebrated writer, but his involvement with the radical politics of his day condemned him to a long Siberian exile. There, he spent years studying the criminals that were his companions. Upon his return to St. Petersburg in the 1860s, he fought his way through gambling addiction, debilitating debt, epilepsy, the deaths of those closest to him, and literary banishment to craft an enduring classic.The germ of CRIME AND PUNISHMENT came from the sensational story of Pierre Francois Lacenaire, a notorious murderer who charmed and outraged Paris in the 1830s. Lacenaire was a glamorous egoist who embodied the instincts that lie beneath nihilism, a western-influenced philosophy inspiring a new generation of Russian revolutionaries. Dostoevsky began creating a Russian incarnation of Lacenaire, a character who could demonstrate the errors of radical politics and ideas. His name would be Raskolnikov.Lacenaire shaped Raskolnikov in profound ways, but the deeper insight, as Birmingham shows, is that Raskolnikov began to merge with Dostoevsky. Dostoevsky was determined to tell a murder story from the murderer's perspective, but his character couldn't be a monster. No. The murderer would be chilling because he wants so desperately to be good.The writing consumed Dostoevsky. As his debts and the predatory terms of his contract caught up with him, he hired a stenographer to dictate the final chapters in time. Anna Grigorievna became Dostoevsky's first reader and chief critic and changed the way he wrote forever. By the time Dostoevsky finished his great novel, he had fallen in love.Dostoevsky's great subject was self-consciousness. CRIME AND PUNISHMENT advanced a revolution in artistic thinking and began the greatest phase of Dostoevsky's career. THE SINNER AND THE SAINT now gives us the thrilling and definitive story of that triumph.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615880616l/57066978.jpg,https://www.goodreads.com/review/show/5920440768?utm_medium=api&utm_source=rss,https://www.goodreads.com/review/show/5920440768?utm_medium=api&utm_source=rss,2023-10-19 20:58:02-07:00,2023-10-19 20:58:02-07:00,2023-10-19 20:58:01-07:00,,,currently-reading
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,2022,4,4.20,58784475,,401,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636978687l/58784475._SY75_.jpg,"In this exhilarating novel, two friends--often in love, but never lovers--come together as creative partners in the world of video game design, where success brings them fame, joy, tragedy, duplicity, and, ultimately, a kind of immortality.On a bitter-cold day, in the December of his junior year at Harvard, Sam Masur exits a subway car and sees, amid the hordes of people waiting on the platform, Sadie Green. He calls her name. For a moment, she pretends she hasn't heard him, but then, she turns, and a game begins: a legendary collaboration that will launch them to stardom. These friends, intimates since childhood, borrow money, beg favors, and, before even graduating college, they have created their first blockbuster,  Ichigo. Overnight, the world is theirs. Not even twenty-five years old, Sam and Sadie are brilliant, successful, and rich, but these qualities won't protect them from their own creative ambitions or the betrayals of their hearts.Spanning thirty years, from Cambridge, Massachusetts, to Venice Beach, California, and lands in between and far beyond, Gabrielle Zevin's Tomorrow, and Tomorrow, and Tomorrow is a dazzling and intricately imagined novel that examines the multifarious nature of identity, disability, failure, the redemptive possibilities in play, and above all, our need to connect: to be loved and to love. Yes, it is a love story, but it is not one you have read before.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636978687l/58784475._SY475_.jpg,https://www.goodreads.com/review/show/5639646965?utm_medium=api&utm_source=rss,https://www.goodreads.com/review/show/5639646965?utm_medium=api&utm_source=rss,2023-10-19 04:19:01-07:00,2023-10-19 04:19:01-07:00,2023-06-23 05:30:21-07:00,2023-10-18 00:00:00+00:00,,
Mornings in Jenin,Susan Abulhawa,2006,0,4.43,6692041,1608190463,352,to-read,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312020216l/6692041._SX50_.jpg,"A heart-wrenching, powerfully written novel that could do for Palestine what The Kite Runner did for Afghanistan. Forcibly removed from the ancient village of Ein Hod by the newly formed state of Israel in 1948, the Abulhejas are moved into the Jenin refugee camp. There, exiled from his beloved olive groves, the family patriarch languishes of a broken heart, his eldest son fathers a family and falls victim to an Israeli bullet, and his grandchildren struggle against tragedy toward freedom, peace, and home. This is the Palestinian story, told as never before, through four generations of a single family. The very precariousness of existence in the camps quickens life itself. Amal, the patriarch's bright granddaughter, feels this with certainty when she discovers the joys of young friendship and first love and especially when she loses her adored father, who read to her daily as a young girl in the quiet of the early dawn. Through Amal we get the stories of her twin brothers, one who is kidnapped by an Israeli soldier and raised Jewish; the other who sacrifices everything for the Palestinian cause. Amal’s own dramatic story threads between the major Palestinian-Israeli clashes of three decades; it is one of love and loss, of childhood, marriage, and parenthood, and finally of the need to share her history with her daughter, to preserve the greatest love she has.  The deep and moving humanity of Mornings in Jenin forces us to take a fresh look at one of the defining political conflicts of our lifetimes.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312020216l/6692041.jpg,https://www.goodreads.com/review/show/5642670179?utm_medium=api&utm_source=rss,https://www.goodreads.com/review/show/5642670179?utm_medium=api&utm_source=rss,2023-10-16 07:12:51-07:00,2023-10-16 07:12:51-07:00,2023-06-24 12:57:46-07:00,,,to-read
"Blindsight (Firefall, #1)",Peter Watts,2006,0,4.18,58377454,,371,to-read,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1624146311l/58377454._SY75_.jpg,"Blindsight is the Hugo Award–nominated novel by Peter Watts, ""a hard science fiction writer through and through and one of the very best alive"" (The Globe and Mail).Two months have past since a myriad of alien objects clenched about the Earth, screaming as they burned. The heavens have been silent since—until a derelict space probe hears whispers from a distant comet. Something talks out there: but not to us. Who should we send to meet the alien, when the alien doesn't want to meet?Send a linguist with multiple-personality disorder and a biologist so spliced with machinery that he can't feel his own flesh. Send a pacifist warrior and a vampire recalled from the grave by the voodoo of paleogenetics. Send a man with half his mind gone since childhood. Send them to the edge of the solar system, praying you can trust such freaks and monsters with the fate of a world. You fear they may be more alien than the thing they've been sent to find—but you'd give anything for that to be true, if you knew what was waiting for them. . . .At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1624146311l/58377454._SY475_.jpg,https://www.goodreads.com/review/show/5907581732?utm_medium=api&utm_source=rss,https://www.goodreads.com/review/show/5907581732?utm_medium=api&utm_source=rss,2023-10-14 05:09:23-07:00,2023-10-14 05:09:23-07:00,2023-10-14 05:09:22-07:00,,,to-read
Going Infinite: The Rise and Fall of a New Tycoon,Michael   Lewis,2023,4,3.71,149105520,1324074337,288,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684247487l/149105520._SY75_.jpg,"From the #1 best-selling author of The Big Short and Flash Boys, the story of FTX’s spectacular collapse and the enigmatic founder at its center.When Michael Lewis first met him, Sam Bankman-Fried was the world’s youngest billionaire and crypto’s Gatsby. CEOs, celebrities, and leaders of small countries all vied for his time and cash after he catapulted, practically overnight, onto the Forbes billionaire list. Who was this rumpled guy in cargo shorts and limp white socks, whose eyes twitched across Zoom meetings as he played video games on the side?In Going Infinite Lewis sets out to answer this question, taking readers into the mind of Bankman-Fried, whose rise and fall offers an education in high-frequency trading, cryptocurrencies, philanthropy, bankruptcy, and the justice system. Both psychological portrait and financial roller-coaster ride, Going Infinite is Michael Lewis at the top of his game, tracing the mind-bending trajectory of a character who never liked the rules and was allowed to live by his own―until it all came undone.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684247487l/149105520.jpg,https://www.goodreads.com/review/show/5896885028?utm_medium=api&utm_source=rss,https://www.goodreads.com/review/show/5896885028?utm_medium=api&utm_source=rss,2023-10-14 03:33:24-07:00,2023-10-14 03:33:24-07:00,2023-10-09 03:45:15-07:00,2023-10-14 00:00:00+00:00,,
A Gentleman in Moscow,Amor Towles,2016,3,4.29,34066798,,462,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551480896l/34066798._SY75_.jpg,"From the New York Times bestselling author of Rules of Civility—a transporting novel about a man who is ordered to spend the rest of his life inside a luxury hotelWith his breakout debut novel, Rules of Civility, Amor Towles established himself as a master of absorbing, sophisticated fiction, bringing late 1930s Manhattan to life with splendid atmosphere and a flawless command of style. Readers and critics were enchanted; as NPR commented, “Towles writes with grace and verve about the mores and manners of a society on the cusp of radical change.”A Gentleman in Moscow immerses us in another elegantly drawn era with the story of Count Alexander Rostov. When, in 1922, he is deemed an unrepentant aristocrat by a Bolshevik tribunal, the count is sentenced to house arrest in the Metropol, a grand hotel across the street from the Kremlin. Rostov, an indomitable man of erudition and wit, has never worked a day in his life, and must now live in an attic room while some of the most tumultuous decades in Russian history are unfolding outside the hotel’s doors. Unexpectedly, his reduced circumstances provide him a doorway into a much larger world of emotional discovery.Brimming with humour, a glittering cast of characters, and one beautifully rendered scene after another, this singular novel casts a spell as it relates the count’s endeavour to gain a deeper understanding of what it means to be a man of purpose.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551480896l/34066798._SY475_.jpg,https://www.goodreads.com/review/show/5639257811?utm_medium=api&utm_source=rss,https://www.goodreads.com/review/show/5639257811?utm_medium=api&utm_source=rss,2023-09-21 05:52:39-07:00,2023-09-21 05:52:39-07:00,2023-06-22 22:46:32-07:00,2023-09-21 00:00:00+00:00,,
Elon Musk,Walter Isaacson,2023,5,4.39,122765395,1982181281,688,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1692288251l/122765395._SY75_.jpg,"From the author of Steve Jobs and other bestselling biographies, this is the astonishingly intimate story of the most fascinating and controversial innovator of our era—a rule-breaking visionary who helped to lead the world into the era of electric vehicles, private space exploration, and artificial intelligence. Oh, and took over Twitter.When Elon Musk was a kid in South Africa, he was regularly beaten by bullies. One day a group pushed him down some concrete steps and kicked him until his face was a swollen ball of flesh. He was in the hospital for a week. But the physical scars were minor compared to the emotional ones inflicted by his father, an engineer, rogue, and charismatic fantasist.His father’s impact on his psyche would linger. He developed into a tough yet vulnerable man-child, prone to abrupt Jekyll-and-Hyde mood swings, with an exceedingly high tolerance for risk, a craving for drama, an epic sense of mission, and a maniacal intensity that was callous and at times destructive.At the beginning of 2022—after a year marked by SpaceX launching thirty-one rockets into orbit, Tesla selling a million cars, and him becoming the richest man on earth—Musk spoke ruefully about his compulsion to stir up dramas. “I need to shift my mindset away from being in crisis mode, which it has been for about fourteen years now, or arguably most of my life,” he said.It was a wistful comment, not a New Year’s resolution. Even as he said it, he was secretly buying up shares of Twitter, the world’s ultimate playground. Over the years, whenever he was in a dark place, his mind went back to being bullied on the playground. Now he had the chance to own the playground.For two years, Isaacson shadowed Musk, attended his meetings, walked his factories with him, and spent hours interviewing him, his family, friends, coworkers, and adversaries. The result is the revealing inside story, filled with amazing tales of triumphs and turmoil, that addresses the are the demons that drive Musk also what it takes to drive innovation and progress?",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1692288251l/122765395._SY475_.jpg,https://www.goodreads.com/review/show/5852080341?utm_medium=api&utm_source=rss,https://www.goodreads.com/review/show/5852080341?utm_medium=api&utm_source=rss,2023-09-18 22:02:49-07:00,2023-09-18 22:02:49-07:00,2023-09-18 22:00:43-07:00,2023-09-18 00:00:00+00:00,,
Other People's Clothes,Calla Henkel,2022,0,3.70,57926000,0385547358,320,currently-reading,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632857983l/57926000._SY75_.jpg,"A propulsive debut with a wicked sense of humor in which two American ex-pats obsessed with the Amanda Knox trial find themselves at the nexus of murder and celebrity in glittering late-aughts Berlin.Hoping to escape the pain of the recent murder of her best friend, art student Zoe Beech finds herself studying abroad in the bohemian capital of Europe--Berlin. Zoe, rudderless, relies on the arrangements of fellow exchange student Hailey Mader, who idolizes Warhol and Britney Spears and wants nothing more than to be an art star. On Craigslist, Hailey unknowingly stumbles on an apartment sublet posted by a well-known thriller writer. Feeling as though they've won the lottery, the women move into the high-ceilinged pre-war flat. Soon they realize that their landlady, Beatrice, who is supposed to be on a residency in Vienna, is watching them--and her next book appears to be based on their lives. Taking stock of their mundane routines--Law and Order binges and nightly nachos--Hailey insists they become people worthy of a novel. As the year unravels and events spiral out of control, they begin to wonder whose story they are living, and how will it end?Other People's Clothes is brilliant on the sometimes dangerous intensity of female friendships, on millennial life in the city, on the lengths people will go to in order to eradicate emotional pain.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632857983l/57926000.jpg,https://www.goodreads.com/review/show/5794338756?utm_medium=api&utm_source=rss,https://www.goodreads.com/review/show/5794338756?utm_medium=api&utm_source=rss,2023-08-24 22:26:09-07:00,2023-08-24 22:26:09-07:00,2023-08-24 22:26:09-07:00,,,currently-reading
The Remains of the Day,Kazuo Ishiguro,1989,5,4.14,28921,,258,favorites,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327128714l/28921._SY75_.jpg,"Librarian's note: See alternate cover edition of ISBN 0571225381 here.In the summer of 1956, Stevens, a long-serving butler at Darlington Hall, decides to take a motoring trip through the West Country. The six-day excursion becomes a journey into the past of Stevens and England, a past that takes in fascism, two world wars, and an unrealised love between the butler and his housekeeper.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327128714l/28921.jpg,https://www.goodreads.com/review/show/4408775550?utm_medium=api&utm_source=rss,https://www.goodreads.com/review/show/4408775550?utm_medium=api&utm_source=rss,2023-06-24 13:02:17-07:00,2023-06-24 13:02:17-07:00,2021-12-25 05:39:13-08:00,2022-01-10 00:00:00+00:00,,favorites
Daisy Jones & The Six,Taylor Jenkins Reid,2019,4,4.22,40597810,1524798622,355,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580255154l/40597810._SY75_.jpg,"Daisy is a girl coming of age in L.A. in the late sixties, sneaking into clubs on the Sunset Strip, sleeping with rock stars, and dreaming of singing at the Whisky a Go Go. The sex and drugs are thrilling, but it’s the rock ’n’ roll she loves most. By the time she’s twenty, her voice is getting noticed, and she has the kind of heedless beauty that makes people do crazy things.Also getting noticed is The Six, a band led by the brooding Billy Dunne. On the eve of their first tour, his girlfriend Camila finds out she’s pregnant, and with the pressure of impending fatherhood and fame, Billy goes a little wild on the road.Daisy and Billy cross paths when a producer realizes that the key to supercharged success is to put the two together. What happens next will become the stuff of legend.The making of that legend is chronicled in this riveting and unforgettable novel, written as an oral history of one of the biggest bands of the seventies. Taylor Jenkins Reid is a talented writer who takes her work to a new level with Daisy Jones & The Six, brilliantly capturing a place and time in an utterly distinctive voice.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580255154l/40597810._SY475_.jpg,https://www.goodreads.com/review/show/5627801896?utm_medium=api&utm_source=rss,https://www.goodreads.com/review/show/5627801896?utm_medium=api&utm_source=rss,2023-06-21 12:20:34-07:00,2023-06-21 12:20:34-07:00,2023-06-18 11:11:21-07:00,2023-06-21 00:00:00+00:00,,
